true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
2,high,3901,2,0.5,0.5,"[-13.935095609915972, -12.535835557725644, 21.232227970288275]"
2,high,3902,2,0.5,0.5,"[14.653826062553087, 15.34322239932375, -20.557495101047536]"
2,high,3903,2,0.5,0.5,"[9.536913153099558, -20.035516477357024, 9.6003635139866]"
2,high,3904,2,1.0,0.0,"[-3.0671904629776656, 2.7769821839888054, 2.669941686009987]"
2,high,3905,1,0.2,0.8,"[3.2803899500892317, 7.81160199702659]"
2,high,3906,2,0.42857142857142855,0.5714285714285714,"[-3.587319322754072, -5.571213923002249, 11.570047630861216]"
2,high,3907,1,0.8,0.2,"[1.5405050741185695, 7.047004104948062]"
2,high,3908,2,0.0,1.0,"[26.85137844270586, 24.046530303781424, -25.8225851397499]"
2,high,3909,3,0.5,0.5,"[-4.201513245258893, 10.227253660159894, -35.09933277383962, 19.63620716906672]"
2,high,3910,1,0.42857142857142855,0.5714285714285714,"[5.126069139670922, 7.753733061220218]"
2,high,3911,1,0.8,0.2,"[-15.727992943992545, -20.7669331602498]"
2,high,3912,2,0.5714285714285714,0.42857142857142855,"[-40.38697428442646, 17.30391063045899, -20.64724807113557]"
2,high,3913,2,0.5714285714285714,0.42857142857142855,"[7.645033695049322, -14.527414478066369, 8.225728933134704]"
2,high,3914,2,0.42857142857142855,0.5714285714285714,"[29.75647104725061, 22.956133056457734, -22.514906369654224]"
2,high,3915,2,0.2,0.8,"[-2.177617148448325, -1.0475211420254003, -3.240092695867876]"
2,high,3916,1,0.2,0.8,"[-3.3077199879744263, -8.395035454266333]"
2,high,3917,2,0.2,0.8,"[-4.341267693462639, 2.0536916189381027, -7.488911673138858]"
2,high,3918,2,0.6666666666666666,0.3333333333333333,"[30.94151507589904, -21.81820396035721, 23.64658126891627]"
2,high,3919,2,0.2,0.8,"[-2.9833846329027978, -0.18668786687361033, -5.531357513358412]"
2,high,3920,1,0.5,0.5,"[4.56334805324879, -5.929690866148929]"
2,high,3921,1,0.42857142857142855,0.5714285714285714,"[5.219393098100856, 10.867778883270741]"
2,high,3922,1,0.3333333333333333,0.6666666666666666,"[-6.809277383883923, 7.308922764017584]"
2,high,3923,2,0.8,0.2,"[10.333682195148134, 17.945879184988417, -21.086478063544693]"
2,high,3924,2,0.5714285714285714,0.42857142857142855,"[2.829126624144538, -0.5910577056479812, -4.816385926787476]"
2,high,3925,1,0.8,0.2,"[2.27276692361735, 5.769268019040889]"
2,high,3926,2,0.5714285714285714,0.42857142857142855,"[4.318088336638891, 0.07159754850944886, 11.081922866049238]"
2,high,3927,1,0.2,0.8,"[-2.379270273694092, 5.984209044776264]"
2,high,3928,1,0.42857142857142855,0.5714285714285714,"[-2.98020099611907, -5.916013756497505]"
2,high,3929,2,0.42857142857142855,0.5714285714285714,"[-3.648740237796711, -5.81725219713072, 10.439810942733097]"
2,high,3930,1,0.42857142857142855,0.5714285714285714,"[-3.5428210084222975, 5.929118241083883]"
2,high,3931,3,0.6666666666666666,0.3333333333333333,"[5.085851604805549, -10.81199781628857, 32.553466540858885, -17.333029945271203]"
2,high,3932,1,0.5714285714285714,0.42857142857142855,"[-5.0200530617660375, -6.115819288146688]"
2,high,3933,1,0.5714285714285714,0.42857142857142855,"[0.7354282106928213, 8.031983642022356]"
2,high,3934,1,0.0,1.0,"[-0.9211566160935365, -4.009048403781118]"
2,high,3935,1,0.0,1.0,"[-2.958325804791872, -4.275902906677159]"
2,high,3936,2,0.2,0.8,"[-9.553867958680286, 12.314116379952447, -16.58210385962943]"
2,high,3937,2,0.6666666666666666,0.3333333333333333,"[8.392795671475653, -0.559525345610826, 14.753635641664046]"
2,high,3938,2,0.5,0.5,"[-10.925834531404332, -13.201280820296244, 6.797611830669168]"
2,high,3939,2,1.0,0.0,"[-2.453487194790042, -3.5646647157285742, -4.159154961841435]"
2,high,3940,1,0.5,0.5,"[1.0497079168741124, 8.517238001878656]"
2,high,3941,1,0.6666666666666666,0.3333333333333333,"[1.2355731437361703, 5.641728572679059]"
2,high,3942,1,0.0,1.0,"[2.9215521784641996, -6.981180779722315]"
2,high,3943,2,0.0,1.0,"[18.84875881286627, 12.517311797278955, -8.89911996056251]"
2,high,3944,1,0.42857142857142855,0.5714285714285714,"[-5.554401335090518, 6.663707176312441]"
2,high,3945,2,0.5,0.5,"[2.618646758382197, -9.326548870247375, 3.8905965275147727]"
2,high,3946,2,0.8,0.2,"[-24.634173538909312, 24.579638424495865, -24.271366547482632]"
2,high,3947,2,0.5,0.5,"[-2.3740324274305915, 2.6658165464997614, 4.995043950160288]"
2,high,3948,1,0.5,0.5,"[3.6232414959346206, -6.5813837424361825]"
2,high,3949,2,0.5714285714285714,0.42857142857142855,"[2.800849162202203, 1.189497544979446, 4.738701969098908]"
2,high,3950,2,0.3333333333333333,0.6666666666666666,"[-36.158531150544654, 30.48579088748829, -22.897099196685524]"
2,high,3951,1,0.8,0.2,"[4.646143925826151, -5.4039384197683065]"
2,high,3952,1,0.3333333333333333,0.6666666666666666,"[1.0058561528345686, 4.375999342692871]"
2,high,3953,2,0.8,0.2,"[-6.176430906518865, 7.404456786433833, -13.035183853689782]"
2,high,3954,1,0.5,0.5,"[-4.589645362647728, 7.703944919752347]"
2,high,3955,2,0.2,0.8,"[-8.389768305239231, 7.707036779723155, -15.302849066482544]"
2,high,3956,3,0.42857142857142855,0.5714285714285714,"[-2.959377510356745, -21.00888104645032, 36.00921717864369, -30.552286199446517]"
2,high,3957,3,0.2,0.8,"[-43.35155997228809, 36.01459185602549, -47.560494388272105, 18.46718401277983]"
2,high,3958,2,1.0,0.0,"[38.17657076995612, -57.75272545122634, 57.37253156946121]"
2,high,3959,2,0.0,1.0,"[9.955628045395397, -17.36099550452753, 12.184421866419832]"
2,high,3960,1,0.5714285714285714,0.42857142857142855,"[2.98611818511712, 8.434111785928637]"
2,high,3961,1,0.3333333333333333,0.6666666666666666,"[-5.853609167396987, -5.849132767653272]"
2,high,3962,2,0.8,0.2,"[-11.626398876083288, -16.184551159257882, 19.29239426545893]"
2,high,3963,2,0.5714285714285714,0.42857142857142855,"[2.624377078548364, 2.0403410696741355, 4.4835199570052415]"
2,high,3964,2,1.0,0.0,"[40.507210093962144, -44.07583508467825, 33.39679840013714]"
2,high,3965,2,0.6666666666666666,0.3333333333333333,"[-7.245368792623155, 1.4581943894555018, 6.867406201675014]"
2,high,3966,2,0.42857142857142855,0.5714285714285714,"[-44.36285210897964, 27.801623129711555, -28.89939542077678]"
2,high,3967,2,0.3333333333333333,0.6666666666666666,"[-29.461152455322917, -28.47553146475849, 23.31749213683591]"
2,high,3968,4,0.3333333333333333,0.6666666666666666,"[17.51944118395053, -16.94111755256409, 119.41905278707351, -187.46599033712815, 88.08641122572179]"
2,high,3969,3,0.2,0.8,"[9.092724809136842, 20.630767859951156, -56.45276136852357, 30.430067870808635]"
2,high,3970,2,0.42857142857142855,0.5714285714285714,"[-7.26215893022, -0.8595950593944729, -6.701115221483169]"
2,high,3971,1,0.8,0.2,"[2.520286625846382, -7.309679981836764]"
2,high,3972,1,0.6666666666666666,0.3333333333333333,"[2.1833210999521935, 6.284052201674998]"
2,high,3973,2,0.2,0.8,"[2.104157304790375, -1.171798270360937, -3.917786096809916]"
2,high,3974,2,0.6666666666666666,0.3333333333333333,"[-10.554231891030547, -21.95309416780238, 16.174042669947177]"
2,high,3975,2,0.5714285714285714,0.42857142857142855,"[15.98305412992886, -21.218329794505742, 16.71107952275463]"
